,date,home_team,away_team,home_score,away_score,country,neutral,impt,home_ranking,home_total_points,home_prev_points,home_rank_change,home_cur_year_avg_weighted,home_last_year_avg_weighted,home_2_year_avg_weighted,home_3_year_avg_weighted,away_ranking,away_total_points,away_prev_points,away_rank_change,away_cur_year_avg_weighted,away_last_year_avg_weighted,away_2_year_avg_weighted,away_3_year_avg_weighted,diff_in_ranking,home_mean_weighted_over_years,away_mean_weighted_over_years,diff_in_mean_weighted_over_years,Result
428,2018-03,Belgium,Saudi Arabia,4,0,2,0,0,5.0,1336.7,1325.0,0.0,626.0,300.0,229.48,181.21,69.0,493.79,522.0,-5.0,194.21,162.36,115.37,21.85,-64.0,334.1725,123.44750000000002,210.725,2
429,2018-03,Germany,Brazil,0,1,2,0,0,1.0,1609.01,1602.0,0.0,863.86,376.34,143.6,225.21,2.0,1489.28,1484.0,0.0,720.93,428.18,175.41,164.76,-1.0,402.2525,372.32,29.932500000000005,0
430,2018-03,Mexico,Croatia,0,1,0,1,0,17.0,1038.2,1034.0,0.0,520.74,291.12,131.72,94.62,15.0,1052.6,1048.0,0.0,523.51,284.25,148.01,96.83,2.0,259.55,263.15,-3.599999999999966,0
431,2018-03,Peru,Iceland,3,1,0,1,0,11.0,1128.12,1128.0,0.0,654.93,319.26,113.17,40.77,18.0,1026.4,1017.0,0.0,586.71,241.07,104.35,94.28,-7.0,282.03249999999997,256.6025,25.42999999999995,2
432,2018-03,Poland,South Korea,3,2,2,0,0,6.0,1228.07,1213.0,1.0,639.96,351.13,130.62,106.35,59.0,553.62,556.0,-1.0,201.76,200.54,84.74,66.58,-53.0,307.015,138.405,168.60999999999999,2
433,2018-03,Russia,France,1,3,2,0,0,63.0,530.78,534.0,-2.0,228.71,85.31,150.28,66.49,9.0,1185.16,1183.0,0.0,524.56,431.45,87.23,141.92,54.0,132.6975,296.29,-163.59250000000003,0
434,2018-03,Serbia,Nigeria,2,0,0,1,0,34.0,779.88,784.0,0.0,486.88,164.54,88.82,39.64,52.0,609.0,606.0,0.0,266.33,216.47,52.86,73.34,-18.0,194.97,152.25,42.72,2
435,2018-03,Spain,Argentina,6,1,2,0,0,6.0,1228.0,1231.0,0.0,657.78,253.96,235.01,81.25,4.0,1359.36,1348.0,0.0,510.42,451.62,198.8,198.53,2.0,307.0,339.8425,-32.84249999999997,2
436,2018-03,Switzerland,Panama,6,0,2,0,0,8.0,1196.61,1190.0,0.0,637.56,301.08,147.06,110.91,53.0,605.12,604.0,0.0,311.24,171.81,87.56,34.51,-45.0,299.1525,151.28,147.87249999999997,2
437,2018-03,Tunisia,Costa Rica,1,0,0,1,0,23.0,919.96,914.0,0.0,530.04,226.84,51.61,111.48,26.0,871.88,868.0,-1.0,393.52,265.06,69.79,143.52,-3.0,229.9925,217.97249999999997,12.020000000000039,2
